#,Hand,Root,ChordType,Texture,Name,ChordNotes,Fingering,BrokenOrder,KeyboardZone
1,Left hand,C,Major,Solid,Left hand - C major - solid,C–E–G,5-3-1,Press C+E+G together (release together),Below middle C (start on C below middle C)
2,Left hand,C,Major,Broken,Left hand - C major - broken,C–E–G,5-3-1,C→E→G (repeat; optional back down G→E→C),Below middle C (start on C below middle C)
3,Left hand,C,Minor,Solid,Left hand - C minor - solid,C–Eb(D#)–G,5-3-1,Press C+Eb+G together (release together),Below middle C (start on C below middle C)
4,Left hand,C,Minor,Broken,Left hand - C minor - broken,C–Eb(D#)–G,5-3-1,C→Eb→G (repeat; optional back down G→Eb→C),Below middle C (start on C below middle C)
5,Left hand,C,Dominant7,Solid,Left hand - C7 - solid,C–E–G–Bb(A#),5-3-2-1,Press C+E+G+Bb together (keep hand relaxed),Below middle C (start on C below middle C)
6,Left hand,C,Dominant7,Broken,Left hand - C7 - broken,C–E–G–Bb(A#),5-3-2-1,C→E→G→Bb (repeat; optional back down Bb→G→E→C),Below middle C (start on C below middle C)
7,Left hand,C,Diminished,Solid,Left hand - C dim - solid,C–Eb(D#)–Gb(F#),5-3-1,Press C+Eb+Gb together (tight color; release together),Below middle C (start on C below middle C)
8,Left hand,C,Diminished,Broken,Left hand - C dim - broken,C–Eb(D#)–Gb(F#),5-3-1,C→Eb→Gb (repeat; optional back down Gb→Eb→C),Below middle C (start on C below middle C)
9,Right hand,C,Major,Solid,Right hand - C major - solid,C–E–G,1-3-5,Press C+E+G together (even sound),Around/above middle C (start on middle C or the C above)
10,Right hand,C,Major,Broken,Right hand - C major - broken,C–E–G,1-3-5,C→E→G (repeat; optional back down G→E→C),Around/above middle C (start on middle C or the C above)
11,Right hand,C,Minor,Solid,Right hand - C minor - solid,C–Eb(D#)–G,1-3-5,Press C+Eb+G together (even sound),Around/above middle C (start on middle C or the C above)
12,Right hand,C,Minor,Broken,Right hand - C minor - broken,C–Eb(D#)–G,1-3-5,C→Eb→G (repeat; optional back down G→Eb→C),Around/above middle C (start on middle C or the C above)
13,Right hand,C,Dominant7,Solid,Right hand - C7 - solid,C–E–G–Bb(A#),1-2-3-5,Press C+E+G+Bb together (keep 2 light),Around/above middle C (start on middle C or the C above)
14,Right hand,C,Dominant7,Broken,Right hand - C7 - broken,C–E–G–Bb(A#),1-2-3-5,C→E→G→Bb (repeat; optional back down Bb→G→E→C),Around/above middle C (start on middle C or the C above)
15,Right hand,C,Diminished,Solid,Right hand - C dim - solid,C–Eb(D#)–Gb(F#),1-3-5,Press C+Eb+Gb together (don’t stiffen wrist),Around/above middle C (start on middle C or the C above)
16,Right hand,C,Diminished,Broken,Right hand - C dim - broken,C–Eb(D#)–Gb(F#),1-3-5,C→Eb→Gb (repeat; optional back down Gb→Eb→C),Around/above middle C (start on middle C or the C above)
17,Left hand,C#,Major,Solid,Left hand - C# major - solid,C#–E#(F)–G#,5-3-1,Press C#+F+G# together (release together),Below middle C (start on C# below middle C)
18,Left hand,C#,Major,Broken,Left hand - C# major - broken,C#–E#(F)–G#,5-3-1,C#→F→G# (repeat; optional back down G#→F→C#),Below middle C (start on C# below middle C)
19,Left hand,C#,Minor,Solid,Left hand - C# minor - solid,C#–E–G#,5-3-1,Press C#+E+G# together (release together),Below middle C (start on C# below middle C)
20,Left hand,C#,Minor,Broken,Left hand - C# minor - broken,C#–E–G#,5-3-1,C#→E→G# (repeat; optional back down G#→E→C#),Below middle C (start on C# below middle C)
21,Left hand,C#,Dominant7,Solid,Left hand - C#7 - solid,C#–E#(F)–G#–B,5-3-2-1,Press C#+F+G#+B together (keep hand relaxed),Below middle C (start on C# below middle C)
22,Left hand,C#,Dominant7,Broken,Left hand - C#7 - broken,C#–E#(F)–G#–B,5-3-2-1,C#→F→G#→B (repeat; optional back down B→G#→F→C#),Below middle C (start on C# below middle C)
23,Left hand,C#,Diminished,Solid,Left hand - C# dim - solid,C#–E–G,5-3-1,Press C#+E+G together (tight color; release together),Below middle C (start on C# below middle C)
24,Left hand,C#,Diminished,Broken,Left hand - C# dim - broken,C#–E–G,5-3-1,C#→E→G (repeat; optional back down G→E→C#),Below middle C (start on C# below middle C)
25,Right hand,C#,Major,Solid,Right hand - C# major - solid,C#–E#(F)–G#,1-3-5,Press C#+F+G# together (even sound),Around/above middle C (start on C# above middle C)
26,Right hand,C#,Major,Broken,Right hand - C# major - broken,C#–E#(F)–G#,1-3-5,C#→F→G# (repeat; optional back down G#→F→C#),Around/above middle C (start on C# above middle C)
27,Right hand,C#,Minor,Solid,Right hand - C# minor - solid,C#–E–G#,1-3-5,Press C#+E+G# together (even sound),Around/above middle C (start on C# above middle C)
28,Right hand,C#,Minor,Broken,Right hand - C# minor - broken,C#–E–G#,1-3-5,C#→E→G# (repeat; optional back down G#→E→C#),Around/above middle C (start on C# above middle C)
29,Right hand,C#,Dominant7,Solid,Right hand - C#7 - solid,C#–E#(F)–G#–B,1-2-3-5,Press C#+F+G#+B together (keep 2 light),Around/above middle C (start on C# above middle C)
30,Right hand,C#,Dominant7,Broken,Right hand - C#7 - broken,C#–E#(F)–G#–B,1-2-3-5,C#→F→G#→B (repeat; optional back down B→G#→F→C#),Around/above middle C (start on C# above middle C)
31,Right hand,C#,Diminished,Solid,Right hand - C# dim - solid,C#–E–G,1-3-5,Press C#+E+G together (don’t stiffen wrist),Around/above middle C (start on C# above middle C)
32,Right hand,C#,Diminished,Broken,Right hand - C# dim - broken,C#–E–G,1-3-5,C#→E→G (repeat; optional back down G→E→C#),Around/above middle C (start on C# above middle C)
33,Left hand,D,Major,Solid,Left hand - D major - solid,D–F#–A,5-3-1,Press D+F#+A together (release together),Below middle C (start on D below middle C)
34,Left hand,D,Major,Broken,Left hand - D major - broken,D–F#–A,5-3-1,D→F#→A (repeat; optional back down A→F#→D),Below middle C (start on D below middle C)
35,Left hand,D,Minor,Solid,Left hand - D minor - solid,D–F–A,5-3-1,Press D+F+A together (release together),Below middle C (start on D below middle C)
36,Left hand,D,Minor,Broken,Left hand - D minor - broken,D–F–A,5-3-1,D→F→A (repeat; optional back down A→F→D),Below middle C (start on D below middle C)
37,Left hand,D,Dominant7,Solid,Left hand - D7 - solid,D–F#–A–C,5-3-2-1,Press D+F#+A+C together (keep hand relaxed),Below middle C (start on D below middle C)
38,Left hand,D,Dominant7,Broken,Left hand - D7 - broken,D–F#–A–C,5-3-2-1,D→F#→A→C (repeat; optional back down C→A→F#→D),Below middle C (start on D below middle C)
39,Left hand,D,Diminished,Solid,Left hand - D dim - solid,D–F–Ab(G#),5-3-1,Press D+F+Ab together (tight color; release together),Below middle C (start on D below middle C)
40,Left hand,D,Diminished,Broken,Left hand - D dim - broken,D–F–Ab(G#),5-3-1,D→F→Ab (repeat; optional back down Ab→F→D),Below middle C (start on D below middle C)
41,Right hand,D,Major,Solid,Right hand - D major - solid,D–F#–A,1-3-5,Press D+F#+A together (even sound),Around/above middle C (start on D above middle C)
42,Right hand,D,Major,Broken,Right hand - D major - broken,D–F#–A,1-3-5,D→F#→A (repeat; optional back down A→F#→D),Around/above middle C (start on D above middle C)
